"area_name","area_slug","area_type","description","vibe_tags","primary_latitude","primary_longitude","postal_codes","city_id (ref)","zone_id (ref)"
"Kaanapali","kaanapali","resort_district","Master-planned resort area with high-end hotels, Whalers Village, and golf courses.","luxury, resort, beach-walk","20.921","-156.694","96761","lahaina","west-maui"
"Kapalua","kapalua","resort_district","Luxury resort community known for its golf courses, bays, and wind protection.","upscale, golf, quiet","20.998","-156.655","96761","lahaina","west-maui"
"Napili","napili","district","Low-rise resort bay area with a classic old-Hawaii feel and excellent snorkeling.","turtles, family, relax","20.994","-156.667","96761","lahaina","west-maui"
"Lahaina Town","lahaina-town","city_wide","The historic heart of West Maui, formerly the royal capital.","history, harbor, busy","20.878","-156.682","96761","lahaina","west-maui"
"Wailea","wailea","resort_district","Upscale resort district with luxury shopping, manicured beaches, and golf.","luxury, honeymoon, shopping","20.686","-156.440","96753","kihei","south-maui"
"South Kihei","south-kihei","district","The dense tourist center of Kihei with shops, bars, and surf schools (The Cove).","surf, nightlife, casual","20.729","-156.450","96753","kihei","south-maui"
"North Kihei","north-kihei","district","Windy stretch of coastline with long beaches (Sugar Beach) and condos.","wind, long-walks, quiet","20.778","-156.458","96753","kihei","south-maui"
"Makena","makena","district","Rugged, less developed southern coastline with lava fields and Big Beach.","wild, lava, pristine","20.634","-156.439","96753","kihei","south-maui"
"Paia Town","paia-town","city_wide","The walkable commercial core of Paia with boutiques and Mana Foods.","bohemian, busy, food","20.917","-156.381","96779","paia","north-shore"
"Kuau","kuau","district","Small residential enclave just past Paia town, home to Mama's Fish House.","residential, windy, surf","20.929","-156.366","96779","paia","north-shore"
"Peahi","peahi","district","Agricultural cliffside area home to the famous ""Jaws"" surf break.","big-surf, cliffs, rural","20.942","-156.310","96708","haiku","north-shore"
"Maalaea","maalaea","district","Windy harbor village known for the ocean center and boat tour departures.","harbor, aquarium, wind","20.793","-156.511","96793","wailuku","central-maui"
"Iao Valley","iao-valley","district","Lush, stream-cut valley featuring the iconic Iao Needle.","scenic, nature, rain","20.882","-156.545","96793","wailuku","central-maui"
"Kipahulu","kipahulu","district","Remote district past Hana, part of Haleakalā National Park (Oheo Gulch).","waterfalls, bamboo, park","20.660","-156.043","96713","hana","east-maui-hana"
"Waiakoa / Kula","kula-central","district","Central Kula area with botanical gardens and farm stands.","views, flowers, farms","20.769","-156.310","96790","kula","upcountry"
